Feature,Importance
onus_attribute_2,0.007610943852334842
onus_attribute_17,0.006649306894525786
onus_attribute_23,0.00581119761382309
onus_attribute_20,0.0054418726164785335
bureau_450,0.005030248581185367
bureau_428,0.004668866898779326
bureau_126,0.004657142165560933
bureau_429,0.004543485550376882
bureau_452,0.004526302899740719
bureau_430,0.004480473040255358
bureau_431,0.004415594611668266
bureau_432,0.004382936482537048
bureau_439,0.004361587946459031
bureau_443,0.004309257676178876
bureau_408,0.004191648454295523
bureau_434,0.00414579620376424
bureau_441,0.004126566429568649
bureau_418,0.004091579455140936
bureau_43,0.004062185151365371
bureau_enquiry_41,0.004048959379912519
bureau_125,0.004033595203612389
bureau_398,0.004021543786193187
bureau_127,0.00399534243818797
bureau_enquiry_43,0.003971853688401815
bureau_397,0.003947622808367144
bureau_442,0.003909133856240552
bureau_61,0.003864360895439256
bureau_59,0.003820397751720798
bureau_419,0.0037368221874525677
bureau_42,0.0036218793623583588
bureau_enquiry_50,0.003536857524419828
bureau_enquiry_33,0.003519830916260321
bureau_417,0.0035010026697709917
bureau_enquiry_21,0.003463309128064288
transaction_attribute_229,0.0034628169695742877
bureau_407,0.003439465360467338
bureau_62,0.003435713489588868
bureau_426,0.003362470709071799
bureau_enquiry_31,0.003319070222178989
bureau_66,0.0033090111561196165
bureau_11,0.003308763368174406
bureau_9,0.0032782150948263123
bureau_enquiry_30,0.003276301432274768
bureau_145,0.003259083175172006
bureau_113,0.003256407925177427
bureau_415,0.003247131520398764
transaction_attribute_660,0.003243065664329418
bureau_12,0.0032291697944728083
transaction_attribute_334,0.0032043560626198557
bureau_147,0.003203349632754601
bureau_52,0.003196347763611813
bureau_421,0.0031806218350849
bureau_445,0.003160570575963041
bureau_63,0.0031573687141215733
bureau_enquiry_40,0.0031369588386060635
transaction_attribute_105,0.003128465089122377
bureau_137,0.003128235045404754
bureau_410,0.003125697411478225
bureau_116,0.0031178690353397213
transaction_attribute_526,0.0031066802883428285
bureau_395,0.0030998480850016235
bureau_65,0.0030474759579416743
bureau_405,0.0030473232804187323
bureau_29,0.00304518974070027
transaction_attribute_580,0.0030367511031971143
transaction_attribute_337,0.0029910558039754256
bureau_22,0.002975337843917458
bureau_115,0.0029738000355579086
bureau_7,0.0029470139840043564
onus_attribute_6,0.0029393485652845102
transaction_attribute_102,0.002937607686657652
onus_attribute_5,0.002909998596493516
bureau_enquiry_13,0.0029072633724763195
bureau_21,0.002901751331628168
transaction_attribute_521,0.0029011292291164187
bureau_64,0.0028991470573711984
bureau_124,0.0028829584661506026
transaction_attribute_565,0.00285453330802859
bureau_51,0.0028418991853908847
bureau_33,0.0028353233281894273
bureau_36,0.002834754184919428
transaction_attribute_286,0.002826707742643795
bureau_118,0.002822573961481279
bureau_enquiry_23,0.002821427916252881
bureau_45,0.0028211292400871085
bureau_31,0.002815245649444208
bureau_95,0.0028048060522756256
transaction_attribute_230,0.0027926666250520722
transaction_attribute_522,0.002792491866824851
bureau_123,0.002789315921618417
transaction_attribute_100,0.0027748499813090273
onus_attribute_44,0.002771537350862839
transaction_attribute_517,0.002765851440864467
bureau_96,0.0027546832189258076
bureau_106,0.002754578231504706
bureau_393,0.0027330350188040065
bureau_400,0.002731368303796349
bureau_enquiry_11,0.0027260624898759987
onus_attribute_11,0.002701591697910122
transaction_attribute_336,0.002701187867106037
bureau_19,0.002681590163467479
onus_attribute_46,0.0026785246297716314
transaction_attribute_103,0.0026590573088264733
transaction_attribute_658,0.002635168965478254
bureau_34,0.002599415307445742
bureau_enquiry_20,0.002588924973190511
bureau_424,0.0025817649471202007
bureau_41,0.0025668631572614924
bureau_396,0.002564312503415567
bureau_103,0.002561182498874579
transaction_attribute_52,0.0025514600065426264
onus_attribute_37,0.002542669873901873
bureau_105,0.0025196902085194445
onus_attribute_41,0.002516091175297218
bureau_390,0.002514743374047753
onus_attribute_12,0.002505355946438912
bureau_enquiry_35,0.0024990870913442274
bureau_enquiry_45,0.002482172362660017
onus_attribute_15,0.0024771653486985786
bureau_85,0.002468441635174258
transaction_attribute_643,0.0024634764365992832
transaction_attribute_338,0.002436157719574382
transaction_attribute_441,0.002433613977184905
transaction_attribute_659,0.0024216889083688497
transaction_attribute_339,0.002414361396095881
